timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1644502083896,834,CheckAvails,200,,RequestGroup 1-1,text,true,,485576,110299,1,1,http://65.0.127.126:8080/avails/fetch,700,0,0
1644502084738,826,CheckAvails,200,,RequestGroup 1-1,text,true,,485772,110299,1,1,http://65.0.127.126:8080/avails/fetch,689,0,0
1644502085568,850,CheckAvails,200,,RequestGroup 1-1,text,true,,485963,110299,1,1,http://65.0.127.126:8080/avails/fetch,715,0,0
1644502086431,850,CheckAvails,200,,RequestGroup 1-1,text,true,,485536,110299,1,1,http://65.0.127.126:8080/avails/fetch,721,0,0
1644502087287,850,CheckAvails,200,,RequestGroup 1-1,text,true,,485899,110299,1,1,http://65.0.127.126:8080/avails/fetch,714,0,0
1644502088141,821,CheckAvails,200,,RequestGroup 1-1,text,true,,485966,110299,1,1,http://65.0.127.126:8080/avails/fetch,692,0,0
1644502088968,835,CheckAvails,200,,RequestGroup 1-1,text,true,,485932,110299,1,1,http://65.0.127.126:8080/avails/fetch,698,0,0
1644502089807,822,CheckAvails,200,,RequestGroup 1-1,text,true,,485922,110299,1,1,http://65.0.127.126:8080/avails/fetch,684,0,0
1644502090636,1235,CheckAvails,200,,RequestGroup 1-1,text,true,,485521,110299,1,1,http://65.0.127.126:8080/avails/fetch,938,0,63
1644502091881,890,CheckAvails,200,,RequestGroup 1-1,text,true,,486338,110299,1,1,http://65.0.127.126:8080/avails/fetch,748,0,0
1644502092777,815,CheckAvails,200,,RequestGroup 1-1,text,true,,485814,110299,1,1,http://65.0.127.126:8080/avails/fetch,692,0,0
1644502093596,831,CheckAvails,200,,RequestGroup 1-1,text,true,,485691,110299,1,1,http://65.0.127.126:8080/avails/fetch,702,0,0
1644502094434,817,CheckAvails,200,,RequestGroup 1-1,text,true,,485400,110299,1,1,http://65.0.127.126:8080/avails/fetch,693,0,0
1644502095254,858,CheckAvails,200,,RequestGroup 1-1,text,true,,486283,110299,1,1,http://65.0.127.126:8080/avails/fetch,738,0,0
1644502096116,846,CheckAvails,200,,RequestGroup 1-1,text,true,,486394,110299,1,1,http://65.0.127.126:8080/avails/fetch,725,0,0
1644502096967,817,CheckAvails,200,,RequestGroup 1-1,text,true,,485621,110299,1,1,http://65.0.127.126:8080/avails/fetch,696,0,0
1644502097789,840,CheckAvails,200,,RequestGroup 1-1,text,true,,486007,110299,1,1,http://65.0.127.126:8080/avails/fetch,721,0,0
1644502098634,842,CheckAvails,200,,RequestGroup 1-1,text,true,,485841,110299,1,1,http://65.0.127.126:8080/avails/fetch,723,0,0
1644502099485,823,CheckAvails,200,,RequestGroup 1-1,text,true,,486409,110299,1,1,http://65.0.127.126:8080/avails/fetch,706,0,0
1644502100313,817,CheckAvails,200,,RequestGroup 1-1,text,true,,485843,110299,1,1,http://65.0.127.126:8080/avails/fetch,695,0,0
1644502101137,824,CheckAvails,200,,RequestGroup 1-1,text,true,,485755,110299,1,1,http://65.0.127.126:8080/avails/fetch,704,0,0
1644502101969,825,CheckAvails,200,,RequestGroup 1-1,text,true,,486085,110299,1,1,http://65.0.127.126:8080/avails/fetch,706,0,0
1644502102807,818,CheckAvails,200,,RequestGroup 1-1,text,true,,485309,110299,1,1,http://65.0.127.126:8080/avails/fetch,696,0,0
1644502103632,822,CheckAvails,200,,RequestGroup 1-1,text,true,,486112,110299,1,1,http://65.0.127.126:8080/avails/fetch,695,0,0
1644502104467,820,CheckAvails,200,,RequestGroup 1-1,text,true,,486704,110299,1,1,http://65.0.127.126:8080/avails/fetch,700,0,0
1644502105293,833,CheckAvails,200,,RequestGroup 1-1,text,true,,485954,110299,1,1,http://65.0.127.126:8080/avails/fetch,716,0,0
1644502106131,856,CheckAvails,200,,RequestGroup 1-1,text,true,,486552,110299,1,1,http://65.0.127.126:8080/avails/fetch,737,0,0
1644502107021,848,CheckAvails,200,,RequestGroup 1-1,text,true,,486167,110299,1,1,http://65.0.127.126:8080/avails/fetch,728,0,0
1644502107875,829,CheckAvails,200,,RequestGroup 1-1,text,true,,486194,110299,1,1,http://65.0.127.126:8080/avails/fetch,711,0,0
1644502108714,810,CheckAvails,200,,RequestGroup 1-1,text,true,,485756,110299,1,1,http://65.0.127.126:8080/avails/fetch,694,0,0
1644502109529,7350,CheckAvails,200,,RequestGroup 1-1,text,true,,15332731,110299,1,1,http://65.0.127.126:8080/avails/fetch,1592,0,0
1644502116881,856,CheckAvails,200,,RequestGroup 1-1,text,true,,485126,110299,1,1,http://65.0.127.126:8080/avails/fetch,749,0,0
1644502117741,832,CheckAvails,200,,RequestGroup 1-1,text,true,,485789,110299,1,1,http://65.0.127.126:8080/avails/fetch,716,0,0
1644502118579,826,CheckAvails,200,,RequestGroup 1-1,text,true,,486326,110299,1,1,http://65.0.127.126:8080/avails/fetch,711,0,0
1644502119412,828,CheckAvails,200,,RequestGroup 1-1,text,true,,486171,110299,1,1,http://65.0.127.126:8080/avails/fetch,711,0,0
1644502120243,816,CheckAvails,200,,RequestGroup 1-1,text,true,,486099,110299,1,1,http://65.0.127.126:8080/avails/fetch,698,0,0
1644502121062,820,CheckAvails,200,,RequestGroup 1-1,text,true,,486202,110299,1,1,http://65.0.127.126:8080/avails/fetch,700,0,0
1644502121887,812,CheckAvails,200,,RequestGroup 1-1,text,true,,485994,110299,1,1,http://65.0.127.126:8080/avails/fetch,697,0,0
1644502122703,806,CheckAvails,200,,RequestGroup 1-1,text,true,,486150,110299,1,1,http://65.0.127.126:8080/avails/fetch,694,0,0
1644502123512,497,CheckAvails,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,RequestGroup 1-1,text,false,,2667,0,1,1,http://65.0.127.126:8080/avails/fetch,0,0,0
